TTT,LOS,Date of Search,Index,Hotel Name,Price Before Tax,Price After Tax,Rating,Classification,Reviews,Neighborhood
1,1,2024-07-20,63,Sofitel New York,284,364,8.6,Excellent,1006,Central New York City
1,1,2024-07-20,64,Four Points By Sheraton New York Downtown,246,285,8.0,Very Good,1612,New York
1,1,2024-07-20,65,"Holiday Inn New York City - Times Square, an IHG Hotel",292,339,8.2,Very Good,1474,New York
1,1,2024-07-20,66,The Luxury Collection Hotel Manhattan Midtown,356,454,8.6,Excellent,1005,New York
1,1,2024-07-20,67,Grayson Hotel in the Unbound Collection by Hyatt,251,326,9.2,Wonderful,348,Central New York City
1,1,2024-07-20,68,DoubleTree by Hilton Hotel New York City - Chelsea,267,310,7.8,Good,1092,Chelsea
1,1,2024-07-20,69,SpringHill Suites by Marriott New York Midtown Manhattan/Park Avenue,246,285,9.0,Wonderful,235,New York
1,1,2024-07-20,70,Four Points by Sheraton Midtown-Times Square,269,312,8.8,Excellent,1340,New York
1,1,2024-07-20,71,Wingate by Wyndham New York Midtown South/5th Ave,285,330,8.6,Excellent,1010,New York
1,1,2024-07-20,72,East Village Hotel,226,265,8.2,Very Good,656,New York
1,1,2024-07-20,73,Renaissance New York Midtown Hotel,323,374,9.2,Wonderful,1003,New York
1,1,2024-07-20,74,The Westin New York Grand Central,590,394,8.8,Excellent,2682,New York
1,1,2024-07-20,75,"Thompson Central Park New York, by Hyatt",315,405,9.0,Wonderful,628,New York
1,1,2024-07-20,76,Refinery Hotel,349,376,9.0,Wonderful,1006,Central New York City
1,1,2024-07-20,77,Fitzpatrick Grand Central,248,317,9.0,Wonderful,1003,New York
1,1,2024-07-20,78,"The Cloud One New York-Downtown, by the Motel One Group",289,335,8.8,Excellent,649,New York
1,1,2024-07-20,79,Orchard Street Hotel,233,288,7.2,Good,658,New York
1,1,2024-07-20,80,Hampton Inn Madison Square Garden Area Hotel,220,256,8.2,Very Good,1063,Chelsea
1,1,2024-07-20,81,New York Marriott Marquis,423,535,9.2,Wonderful,2879,Theater District
1,1,2024-07-20,82,"Kimpton Hotel Eventi, an IHG Hotel",309,396,9.0,Wonderful,1004,Chelsea
1,1,2024-07-20,83,The Bryant Park Hotel,295,376,9.2,Wonderful,1007,Central New York City
1,1,2024-07-20,84,Hilton New York Fashion District,278,323,8.2,Very Good,1016,Chelsea
1,1,2024-07-20,85,citizenM New York Bowery,319,370,9.2,Wonderful,1175,New York
