Hotel Name,Score,Distance to Center,Price,Taxes and Fees,Total Price,Nights and Adults,Card Deal,Stars,Subway Access,Neighborhood,Room Type,Bed Type,Cancellation Policy,Payment Policy,Review Class,Number of Reviews,Date of search,Checkin,Checkout
Residence Inn by Marriott New York Downtown Manhattan/World Trade Center Area,8.5,6.9,170,59,229.0,"1 night,2 adults",,4,True,Manhattan,King Studio,Entire studio•1 bathroom•25m²,,,Very Good,1696 ,2024-06-17,2024-06-18,2024-06-19
Renaissance New York Chelsea Hotel,8.0,2.8,339,88,427.0,"1 night,2 adults",,4,True,Chelsea,"Guest room, 2 Double",2 full beds,,,Very Good,897 ,2024-06-17,2024-06-18,2024-06-19
Pod Times Square,8.1,1.4,149,48,197.0,"1 night,2 adults",,3,True,Hell's Kitchen,Bunk Pod,2 twin beds,,,Very Good,22287 ,2024-06-17,2024-06-18,2024-06-19
Home2 Suites By Hilton New York Times Square,7.7,1.0,239,41,280.0,"1 night,2 adults",,3,True,Manhattan,Corner Queen Room with Roll-In Shower - Mobility Access,1 queen bed,,,Good,669 ,2024-06-17,2024-06-18,2024-06-19
Hyatt Place New York City/Times Square,7.6,1.7,179,30,209.0,"1 night,2 adults",,4,True,Hell's Kitchen,Standard King Room,1 king bed,,,Good,21671 ,2024-06-17,2024-06-18,2024-06-19
"The Historic Mayfair Hotel Times Square, Ascend Hotel Collection",8.5,0.8,135,52,187.0,"1 night,2 adults",,3,True,Manhattan,Deluxe Double Room - Non Smoking,1 full bed,,,Very Good,739 ,2024-06-17,2024-06-18,2024-06-19
"Holiday Inn Lower East Side, an IHG Hotel",8.0,5.6,139,24,163.0,"1 night,2 adults",,4,True,Lower East Side,Standard King Room,1 king bed,,,Very Good,1184 ,2024-06-17,2024-06-18,2024-06-19
"The New Yorker, A Wyndham Hotel",7.7,2.0,159,60,219.0,"1 night,2 adults",,4,True,Hell's Kitchen,Standard Queen Room,1 queen bed,,,Good,15276 ,2024-06-17,2024-06-18,2024-06-19
M Social Hotel Times Square New York,8.4,0.6,199,73,272.0,"1 night,2 adults",,4,True,Manhattan,Social City View King,1 king bed,,,Very Good,10888 ,2024-06-17,2024-06-18,2024-06-19
"Crowne Plaza Times Square Manhattan, an IHG Hotel",7.8,0.9,189,72,261.0,"1 night,2 adults",,4,True,Manhattan,Standard Room,1 king bed,,,Good,6827 ,2024-06-17,2024-06-18,2024-06-19
"Holiday Inn New York City - Times Square, an IHG Hotel",7.7,1.6,159,27,186.0,"1 night,2 adults",,3,True,Hell's Kitchen,Executive Twin Room - Non-Smoking,2 full beds,,,Good,2056 ,2024-06-17,2024-06-18,2024-06-19
Delta Hotels by Marriott New York Times Square,7.7,1.6,179,30,209.0,"1 night,2 adults",,4,True,Hell's Kitchen,Double Room with Two Double Beds,2 full beds,,,Good,2702 ,2024-06-17,2024-06-18,2024-06-19
Courtyard by Marriott Times Square West,8.2,1.8,191,32,223.0,"1 night,2 adults",Getaway Deal,3,True,Hell's Kitchen,King Room,1 king bed,Free cancellation,No prepayment needed– pay at the property,Very Good,2790 ,2024-06-17,2024-06-18,2024-06-19
Hyatt Place NYC Chelsea,7.9,2.8,201,33,234.0,"1 night,2 adults",,4,True,Chelsea,Double Room with Two Double Beds,2 full beds,,,Good,15569 ,2024-06-17,2024-06-18,2024-06-19
Hilton New York Times Square,7.5,1.4,161,67,228.0,"1 night,2 adults",,4,True,Manhattan,King Room,1 king bed,,,Good,773 ,2024-06-17,2024-06-18,2024-06-19
La Quinta by Wyndham New York City Central Park,6.6,1.0,135,68,203.0,"1 night,2 adults",Getaway Deal,3,True,Upper West Side,Double Room,1 full bed,,,Review score,4339 ,2024-06-17,2024-06-18,2024-06-19
Hotel Edison Times Square,7.4,1.0,169,74,243.0,"1 night,2 adults",,4,True,Manhattan,Classic 1 Queen Bed,1 queen bed,,,Good,15429 ,2024-06-17,2024-06-18,2024-06-19
"The Cloud One New York-Downtown, by the Motel One Group",8.4,7.0,199,33,232.0,"1 night,2 adults",,4,True,Manhattan,Standard King Room,1 king bed,,,Very Good,4528 ,2024-06-17,2024-06-18,2024-06-19
Fairfield Inn by Marriott New York Manhattan/Financial District,7.5,7.2,169,28,197.0,"1 night,2 adults",,3,True,Manhattan,King Room,1 king bed,,,Good,3518 ,2024-06-17,2024-06-18,2024-06-19
Executive Hotel Le Soleil New York,8.4,2.0,199,58,257.0,"1 night,2 adults",,4,True,Manhattan,Executive Queen Room,1 queen bed,,,Very Good,4052 ,2024-06-17,2024-06-18,2024-06-19
City Club Hotel,7.2,1.4,169,57,226.0,"1 night,2 adults",,4,True,Manhattan,Queen Luxe Room,1 queen bed,,,Good,2145 ,2024-06-17,2024-06-18,2024-06-19
Paramount Hotel Times Square,6.6,1.0,129,63,192.0,"1 night,2 adults",,4,True,Manhattan,Double Room - Disability Access,1 full bed,,,Review score,5579 ,2024-06-17,2024-06-18,2024-06-19
Arlo Midtown,8.7,1.7,197,67,264.0,"1 night,2 adults",,4,True,Hell's Kitchen,Superior King Room,1 king bed,,,Excellent,5908 ,2024-06-17,2024-06-18,2024-06-19
Millennium Hotel Broadway Times Square,7.3,1.3,179,64,243.0,"1 night,2 adults",,4,True,Manhattan,Queen Room with Bath Tub - Hearing/Mobility Accessible,1 queen bed,,,Good,7723 ,2024-06-17,2024-06-18,2024-06-19
"Crowne Plaza HY36 Midtown Manhattan, an IHG Hotel",8.5,1.9,199,67,266.0,"1 night,2 adults",,4,True,Hell's Kitchen,Standard King Room,1 king bed,,,Very Good,776 ,2024-06-17,2024-06-18,2024-06-19
The Pearl Hotel,8.6,0.8,189,66,255.0,"1 night,2 adults",,4,True,Manhattan,Superior Queen Room,1 queen bed,,,Excellent,1915 ,2024-06-17,2024-06-18,2024-06-19
Embassy Suites By Hilton New York Manhattan Times Square,7.8,1.9,183,65,248.0,"1 night,2 adults",,4,True,Manhattan,King Room,1 king bed,,,Good,4402 ,2024-06-17,2024-06-18,2024-06-19
Roxy Hotel New York,8.5,5.8,658,196,854.0,"2 nights,2 adults",,4,True,Tribeca,Roxy King,1 king bed,,,Very Good,1248 ,2024-06-17,2024-06-18,2024-06-20
Grayson Hotel,8.4,1.8,700,179,879.0,"2 nights,2 adults",,4,True,Manhattan,King Room,1 king bed,,,Very Good,676 ,2024-06-17,2024-06-18,2024-06-20
Hyatt Place New York City/Times Square,7.6,1.7,358,60,418.0,"2 nights,2 adults",,4,True,Hell's Kitchen,Standard King Room,1 king bed,,,Good,21671 ,2024-06-17,2024-06-18,2024-06-20
"The Chatwal, The Unbound Collection by Hyatt",8.3,1.3,1590,250,1840.0,"2 nights,2 adults",,5,True,Manhattan,Superior Queen Room,1 queen bed,,,Very Good,66 ,2024-06-17,2024-06-18,2024-06-20
Residence Inn by Marriott New York Downtown Manhattan/World Trade Center Area,8.5,6.9,340,119,459.0,"2 nights,2 adults",,4,True,Manhattan,King Studio,Entire studio•1 bathroom•25m²,,,Very Good,1696 ,2024-06-17,2024-06-18,2024-06-20
"The Historic Mayfair Hotel Times Square, Ascend Hotel Collection",8.5,0.8,270,104,374.0,"2 nights,2 adults",,3,True,Manhattan,Deluxe Double Room - Non Smoking,1 full bed,,,Very Good,739 ,2024-06-17,2024-06-18,2024-06-20
M Social Hotel Times Square New York,8.4,0.6,370,142,512.0,"2 nights,2 adults",,4,True,Manhattan,Social City View King,1 king bed,,,Very Good,10888 ,2024-06-17,2024-06-18,2024-06-20
Pod Times Square,8.1,1.4,298,97,395.0,"2 nights,2 adults",,3,True,Hell's Kitchen,Bunk Pod,2 twin beds,,,Very Good,22287 ,2024-06-17,2024-06-18,2024-06-20
"The New Yorker, A Wyndham Hotel",7.7,2.0,318,120,438.0,"2 nights,2 adults",,4,True,Hell's Kitchen,Standard Queen Room,1 queen bed,,,Good,15276 ,2024-06-17,2024-06-18,2024-06-20
Hyatt Place NYC Chelsea,7.9,2.8,408,67,475.0,"2 nights,2 adults",,4,True,Chelsea,King Room with Sofa Bed,"2 beds (1 king, 1 sofa bed)",,,Good,15569 ,2024-06-17,2024-06-18,2024-06-20
"Holiday Inn Lower East Side, an IHG Hotel",8.0,5.6,268,47,315.0,"2 nights,2 adults",,4,True,Lower East Side,Standard King Room - Mid Floor,1 king bed,,,Very Good,1184 ,2024-06-17,2024-06-18,2024-06-20
"Holiday Inn New York City - Times Square, an IHG Hotel",7.7,1.6,318,54,372.0,"2 nights,2 adults",,3,True,Hell's Kitchen,Standard Room,1 full bed,,,Good,2056 ,2024-06-17,2024-06-18,2024-06-20
Courtyard by Marriott Times Square West,8.2,1.8,382,63,445.0,"2 nights,2 adults",Getaway Deal,3,True,Hell's Kitchen,King Room,1 king bed,Free cancellation,No prepayment needed– pay at the property,Very Good,2790 ,2024-06-17,2024-06-18,2024-06-20
Hyatt Herald Square New York,8.0,2.4,364,118,482.0,"2 nights,2 adults",Getaway Deal,4,True,NoMad,King Room - High Floor,1 king bed,,,Very Good,1336 ,2024-06-17,2024-06-18,2024-06-20
Fairfield Inn by Marriott New York Manhattan/Financial District,7.5,7.2,338,57,395.0,"2 nights,2 adults",,3,True,Manhattan,King Room,1 king bed,,,Good,3518 ,2024-06-17,2024-06-18,2024-06-20
TRYP by Wyndham New York City Times Square - Midtown,7.2,1.9,270,101,371.0,"2 nights,2 adults",Getaway Deal,4,True,Hell's Kitchen,King Room,Multiple bed types,,,Good,2987 ,2024-06-17,2024-06-18,2024-06-20
Executive Hotel Le Soleil New York,8.4,2.0,397,116,513.0,"2 nights,2 adults",,4,True,Manhattan,Executive Queen Room,1 queen bed,,,Very Good,4052 ,2024-06-17,2024-06-18,2024-06-20
"The Cloud One New York-Downtown, by the Motel One Group",8.4,7.0,398,66,464.0,"2 nights,2 adults",,4,True,Manhattan,Standard King Room,1 king bed,,,Very Good,4528 ,2024-06-17,2024-06-18,2024-06-20
Delta Hotels by Marriott New York Times Square,7.7,1.6,368,61,429.0,"2 nights,2 adults",,4,True,Hell's Kitchen,Double Room with Two Double Beds,2 full beds,,,Good,2702 ,2024-06-17,2024-06-18,2024-06-20
Four Points by Sheraton New York Downtown,7.3,7.0,308,52,360.0,"2 nights,2 adults",,3,True,Manhattan,"Guest room, 1 Queen",1 queen bed,Free cancellation,No prepayment needed– pay at the property,Good,2304 ,2024-06-17,2024-06-18,2024-06-20
Hotel 309,6.1,3.6,189,35,224.0,"2 nights,2 adults",,2,True,Chelsea,Economy Room with Shared Bath,1 queen bed,,,Review score,1506 ,2024-06-17,2024-06-18,2024-06-20
Millennium Hotel Broadway Times Square,7.3,1.3,358,129,487.0,"2 nights,2 adults",,4,True,Manhattan,Queen Room with Bath Tub - Hearing/Mobility Accessible,1 queen bed,,,Good,7723 ,2024-06-17,2024-06-18,2024-06-20
"Crowne Plaza Times Square Manhattan, an IHG Hotel",7.8,0.9,433,151,584.0,"2 nights,2 adults",,4,True,Manhattan,Traditional King Room,1 king bed,,,Good,6827 ,2024-06-17,2024-06-18,2024-06-20
The Pearl Hotel,8.6,0.8,388,133,521.0,"2 nights,2 adults",,4,True,Manhattan,Superior Queen Room,1 queen bed,,,Excellent,1915 ,2024-06-17,2024-06-18,2024-06-20
Arlo Midtown,8.7,1.7,394,134,528.0,"2 nights,2 adults",,4,True,Hell's Kitchen,Superior King Room,1 king bed,,,Excellent,5908 ,2024-06-17,2024-06-18,2024-06-20
"The Historic Blue Angel Hotel Lexington Ave, Ascend Hotel Collection",8.7,1.5,370,107,477.0,"2 nights,2 adults",,3,True,Midtown East,Queen Room - Non-Smoking,1 queen bed,,,Excellent,958 ,2024-06-17,2024-06-18,2024-06-20
Hotel Edison Times Square,7.4,1.0,348,150,498.0,"2 nights,2 adults",,4,True,Manhattan,Classic 1 Queen Bed,1 queen bed,,,Good,15429 ,2024-06-17,2024-06-18,2024-06-20
"Holiday Inn Lower East Side, an IHG Hotel",8.0,5.6,523,88,611.0,"3 nights,2 adults",Limited-time Deal,4,True,Lower East Side,Standard Room,Multiple bed types,,,Very Good,1184 ,2024-06-17,2024-06-18,2024-06-21
Renaissance New York Chelsea Hotel,8.0,2.8,882,244,1126.0,"3 nights,2 adults",,4,True,Chelsea,"Guest room, 2 Double",2 full beds,,,Very Good,897 ,2024-06-17,2024-06-18,2024-06-21
Roxy Hotel New York,8.5,5.8,1017,298,1315.0,"3 nights,2 adults",,4,True,Tribeca,Roxy King,1 king bed,,,Very Good,1248 ,2024-06-17,2024-06-18,2024-06-21
Home2 Suites By Hilton New York Times Square,7.7,1.0,747,127,874.0,"3 nights,2 adults",,3,True,Manhattan,Queen Studio Suite,Private suite,,,Good,669 ,2024-06-17,2024-06-18,2024-06-21
M Social Hotel Times Square New York,8.4,0.6,537,210,747.0,"3 nights,2 adults",,4,True,Manhattan,Social City View King,1 king bed,,,Very Good,10888 ,2024-06-17,2024-06-18,2024-06-21
"The New Yorker, A Wyndham Hotel",7.7,2.0,409,171,580.0,"3 nights,2 adults",,4,True,Hell's Kitchen,Standard Queen Room,1 queen bed,,,Good,15276 ,2024-06-17,2024-06-18,2024-06-21
Hyatt Place New York City/Times Square,7.6,1.7,557,93,650.0,"3 nights,2 adults",,4,True,Hell's Kitchen,Standard King Room,1 king bed,,,Good,21671 ,2024-06-17,2024-06-18,2024-06-21
Fairfield Inn by Marriott New York Manhattan/Financial District,7.5,7.2,466,79,545.0,"3 nights,2 adults",,3,True,Manhattan,King Room,1 king bed,,,Good,3518 ,2024-06-17,2024-06-18,2024-06-21
Residence Inn by Marriott New York Downtown Manhattan/World Trade Center Area,8.5,6.9,519,179,698.0,"3 nights,2 adults",,4,True,Manhattan,King Studio,Entire studio•1 bathroom•25m²,,,Very Good,1696 ,2024-06-17,2024-06-18,2024-06-21
The Belvedere Hotel,8.0,0.9,435,150,585.0,"3 nights,2 adults",,4,True,Hell's Kitchen,Standard King Room,1 king bed,,,Very Good,5642 ,2024-06-17,2024-06-18,2024-06-21
Millennium Hotel Broadway Times Square,7.3,1.3,490,186,676.0,"3 nights,2 adults",,4,True,Manhattan,Queen Room with Bath Tub - Hearing/Mobility Accessible,1 queen bed,,,Good,7723 ,2024-06-17,2024-06-18,2024-06-21
Pod Times Square,8.1,1.4,447,145,592.0,"3 nights,2 adults",,3,True,Hell's Kitchen,Bunk Pod,2 twin beds,,,Very Good,22287 ,2024-06-17,2024-06-18,2024-06-21
Hyatt Place NYC Chelsea,7.9,2.8,612,101,713.0,"3 nights,2 adults",,4,True,Chelsea,King Room with Sofa Bed,"2 beds (1 king, 1 sofa bed)",,,Good,15569 ,2024-06-17,2024-06-18,2024-06-21
Delta Hotels by Marriott New York Times Square,7.7,1.6,527,88,615.0,"3 nights,2 adults",,4,True,Hell's Kitchen,Double Room with Two Double Beds,2 full beds,,,Good,2702 ,2024-06-17,2024-06-18,2024-06-21
Courtyard by Marriott Times Square West,8.2,1.8,590,97,687.0,"3 nights,2 adults",Getaway Deal,3,True,Hell's Kitchen,King Room,1 king bed,Free cancellation,No prepayment needed– pay at the property,Very Good,2790 ,2024-06-17,2024-06-18,2024-06-21
Carnegie Hotel,8.6,0.4,627,189,816.0,"3 nights,2 adults",,4,True,Manhattan,Superior Queen Room,1 queen bed,,,Excellent,2074 ,2024-06-17,2024-06-18,2024-06-21
Element Times Square West,7.8,1.6,517,93,610.0,"3 nights,2 adults",,4,True,Hell's Kitchen,"Guest Room, 1 King",1 king bed,Free cancellation,No prepayment needed– pay at the property,Good,7361 ,2024-06-17,2024-06-18,2024-06-21
Motto By Hilton New York City Times Square,8.2,1.0,501,189,690.0,"3 nights,2 adults",,3,True,Manhattan,Flex Room with Wall Bed,1 queen bed,Free cancellation,No prepayment needed– pay at the property,Very Good,431 ,2024-06-17,2024-06-18,2024-06-21
"Crowne Plaza Times Square Manhattan, an IHG Hotel",7.8,0.9,632,224,856.0,"3 nights,2 adults",,4,True,Manhattan,Traditional King Room,1 king bed,,,Good,6827 ,2024-06-17,2024-06-18,2024-06-21
"The Cloud One New York-Downtown, by the Motel One Group",8.4,7.0,597,99,696.0,"3 nights,2 adults",,4,True,Manhattan,Standard King Room,1 king bed,,,Very Good,4528 ,2024-06-17,2024-06-18,2024-06-21
Hotel Edison Times Square,7.4,1.0,537,227,764.0,"3 nights,2 adults",,4,True,Manhattan,Classic 1 Queen Bed,1 queen bed,,,Good,15429 ,2024-06-17,2024-06-18,2024-06-21
"Holiday Inn Express - Wall Street, an IHG Hotel",7.0,7.3,456,129,585.0,"3 nights,2 adults",,3,True,Manhattan,Standard Room,1 king bed,,,Good,1957 ,2024-06-17,2024-06-18,2024-06-21
"Holiday Inn Express - Times Square, an IHG Hotel",6.3,1.6,459,130,589.0,"3 nights,2 adults",,3,True,Hell's Kitchen,1 King Standard,1 king bed,,,Review score,2747 ,2024-06-17,2024-06-18,2024-06-21
Executive Hotel Le Soleil New York,8.4,2.0,605,175,780.0,"3 nights,2 adults",,4,True,Manhattan,Executive Queen Room,1 queen bed,,,Very Good,4052 ,2024-06-17,2024-06-18,2024-06-21
The Pearl Hotel,8.6,0.8,609,204,813.0,"3 nights,2 adults",,4,True,Manhattan,Superior Queen Room,1 queen bed,,,Excellent,1915 ,2024-06-17,2024-06-18,2024-06-21
"Holiday Inn New York City - Times Square, an IHG Hotel",7.7,1.6,517,87,604.0,"3 nights,2 adults",,3,True,Hell's Kitchen,Standard Room,1 full bed,,,Good,2056 ,2024-06-17,2024-06-18,2024-06-21
"U Hotel Fifth Avenue, Empire State Building",7.9,2.1,488,151,639.0,"3 nights,2 adults",,3,True,Manhattan,King Room,1 king bed,,,Good,3050 ,2024-06-17,2024-06-18,2024-06-21
"Holiday Inn Lower East Side, an IHG Hotel",8.0,5.6,809,133,942.0,"4 nights,2 adults",Limited-time Deal,4,True,Lower East Side,Standard Room,Multiple bed types,,,Very Good,1184 ,2024-06-17,2024-06-18,2024-06-22
Home2 Suites By Hilton New York Times Square,7.7,1.0,1076,181,1257.0,"4 nights,2 adults",,3,True,Manhattan,Queen Studio Suite,Private suite,,,Good,669 ,2024-06-17,2024-06-18,2024-06-22
Roxy Hotel New York,8.5,5.8,1496,418,1914.0,"4 nights,2 adults",,4,True,Tribeca,Deluxe King Room,1 king bed,,,Very Good,1248 ,2024-06-17,2024-06-18,2024-06-22
Residence Inn by Marriott New York Downtown Manhattan/World Trade Center Area,8.5,6.9,723,243,966.0,"4 nights,2 adults",,4,True,Manhattan,King Studio,Entire studio•1 bathroom•25m²,,,Very Good,1696 ,2024-06-17,2024-06-18,2024-06-22
M Social Hotel Times Square New York,8.4,0.6,770,288,1058.0,"4 nights,2 adults",,4,True,Manhattan,Social City View King,1 king bed,,,Very Good,10888 ,2024-06-17,2024-06-18,2024-06-22
"The New Yorker, A Wyndham Hotel",7.7,2.0,606,236,842.0,"4 nights,2 adults",,4,True,Hell's Kitchen,Standard Queen Room,1 queen bed,,,Good,15276 ,2024-06-17,2024-06-18,2024-06-22
Hyatt Place New York City/Times Square,7.6,1.7,816,134,950.0,"4 nights,2 adults",,4,True,Hell's Kitchen,Standard King Room,1 king bed,,,Good,21671 ,2024-06-17,2024-06-18,2024-06-22
Courtyard by Marriott Times Square West,8.2,1.8,756,125,881.0,"4 nights,2 adults",,3,True,Hell's Kitchen,King Room,1 king bed,Free cancellation,No prepayment needed– pay at the property,Very Good,2790 ,2024-06-17,2024-06-18,2024-06-22
Pod Times Square,8.1,1.4,556,188,744.0,"4 nights,2 adults",,3,True,Hell's Kitchen,Bunk Pod,2 twin beds,,,Very Good,22287 ,2024-06-17,2024-06-18,2024-06-22
Hyatt Place NYC Chelsea,7.9,2.8,836,137,973.0,"4 nights,2 adults",,4,True,Chelsea,King Room with Sofa Bed,"2 beds (1 king, 1 sofa bed)",,,Good,15569 ,2024-06-17,2024-06-18,2024-06-22
Fairfield Inn by Marriott New York Manhattan/Financial District,7.5,7.2,712,119,831.0,"4 nights,2 adults",,3,True,Manhattan,King Room,1 king bed,,,Good,3518 ,2024-06-17,2024-06-18,2024-06-22
Millennium Hotel Broadway Times Square,7.3,1.3,711,257,968.0,"4 nights,2 adults",,4,True,Manhattan,Queen Room with Bath Tub - Hearing/Mobility Accessible,1 queen bed,,,Good,7723 ,2024-06-17,2024-06-18,2024-06-22
The Belvedere Hotel,8.0,0.9,654,210,864.0,"4 nights,2 adults",,4,True,Hell's Kitchen,Standard King Room,1 king bed,,,Very Good,5642 ,2024-06-17,2024-06-18,2024-06-22
Carnegie Hotel,8.6,0.4,896,261,1157.0,"4 nights,2 adults",,4,True,Manhattan,Superior Queen Room,1 queen bed,,,Excellent,2074 ,2024-06-17,2024-06-18,2024-06-22
"Crowne Plaza Times Square Manhattan, an IHG Hotel",7.8,0.9,881,305,1186.0,"4 nights,2 adults",,4,True,Manhattan,Traditional King Room,1 king bed,,,Good,6828 ,2024-06-17,2024-06-18,2024-06-22
Delta Hotels by Marriott New York Times Square,7.7,1.6,786,130,916.0,"4 nights,2 adults",,4,True,Hell's Kitchen,King Room,1 king bed,,,Good,2702 ,2024-06-17,2024-06-18,2024-06-22
SoHo 54,7.2,5.3,626,244,870.0,"4 nights,2 adults",,3,True,SoHo,SoHo King,1 king bed,,,Good,2883 ,2024-06-17,2024-06-18,2024-06-22
"The Cloud One New York-Downtown, by the Motel One Group",8.4,7.0,836,137,973.0,"4 nights,2 adults",,4,True,Manhattan,Standard King Room,1 king bed,,,Very Good,4528 ,2024-06-17,2024-06-18,2024-06-22
Element Times Square West,7.8,1.6,756,134,890.0,"4 nights,2 adults",,4,True,Hell's Kitchen,"Guest Room, 1 King",1 king bed,Free cancellation,No prepayment needed– pay at the property,Good,7361 ,2024-06-17,2024-06-18,2024-06-22
MOXY NYC Times Square,8.1,1.9,728,259,987.0,"4 nights,2 adults",,4,True,Manhattan,Double Room,1 full bed,,,Very Good,7327 ,2024-06-17,2024-06-18,2024-06-22
Millennium Downtown New York,7.4,6.8,711,279,990.0,"4 nights,2 adults",,4,True,Manhattan,Superior King Room,1 king bed,,,Good,5086 ,2024-06-17,2024-06-18,2024-06-22
"Holiday Inn Express - Times Square, an IHG Hotel",6.3,1.6,645,178,823.0,"4 nights,2 adults",,3,True,Hell's Kitchen,Double Room with Roll-In Shower - Hearing Accessible,1 queen bed,,,Review score,2747 ,2024-06-17,2024-06-18,2024-06-22
"U Hotel Fifth Avenue, Empire State Building",7.9,2.1,723,212,935.0,"4 nights,2 adults",,3,True,Manhattan,King Room,1 king bed,,,Good,3050 ,2024-06-17,2024-06-18,2024-06-22
Motto By Hilton New York City Times Square,8.2,1.0,793,271,1064.0,"4 nights,2 adults",,3,True,Manhattan,Queen Room - Hearing Accessible,1 queen bed,Free cancellation,No prepayment needed– pay at the property,Very Good,431 ,2024-06-17,2024-06-18,2024-06-22
Executive Hotel Le Soleil New York,8.4,2.0,889,246,1135.0,"4 nights,2 adults",,4,True,Manhattan,Executive Queen Room,1 queen bed,,,Very Good,4052 ,2024-06-17,2024-06-18,2024-06-22
NH Collection New York Madison Avenue,8.3,2.0,1217,353,1570.0,"4 nights,2 adults",,4,True,Murray Hill,Superior Room,1 queen bed,,,Very Good,2014 ,2024-06-17,2024-06-18,2024-06-22
Roxy Hotel New York,8.5,5.8,1975,538,2513.0,"5 nights,2 adults",,4,True,Tribeca,Deluxe King Room,1 king bed,,,Very Good,1248 ,2024-06-17,2024-06-18,2024-06-23
Residence Inn by Marriott New York Downtown Manhattan/World Trade Center Area,8.5,6.9,1102,334,1436.0,"5 nights,2 adults",,4,True,Manhattan,King Studio,Entire studio•1 bathroom•25m²,,,Very Good,1696 ,2024-06-17,2024-06-18,2024-06-23
Fairfield Inn by Marriott New York Manhattan/Financial District,7.5,7.2,963,160,1123.0,"5 nights,2 adults",,3,True,Manhattan,King Room,1 king bed,,,Good,3518 ,2024-06-17,2024-06-18,2024-06-23
The St. Regis New York,8.7,1.0,4928,984,5912.0,"5 nights,2 adults",,5,True,Midtown East,Superior King Room - Butler Service,1 king bed,Free cancellation,No prepayment needed– pay at the property,Excellent,140 ,2024-06-17,2024-06-18,2024-06-23
"The New Yorker, A Wyndham Hotel",7.7,2.0,951,324,1275.0,"5 nights,2 adults",,4,True,Hell's Kitchen,Standard Queen Room,1 queen bed,,,Good,15276 ,2024-06-17,2024-06-18,2024-06-23
Pod Times Square,8.1,1.4,854,258,1112.0,"5 nights,2 adults",,3,True,Hell's Kitchen,Bunk Pod,2 twin beds,,,Very Good,22287 ,2024-06-17,2024-06-18,2024-06-23
M Social Hotel Times Square New York,8.4,0.6,1247,402,1649.0,"5 nights,2 adults",,4,True,Manhattan,Social City View King,1 king bed,,,Very Good,10888 ,2024-06-17,2024-06-18,2024-06-23
Hyatt Place New York City/Times Square,7.6,1.7,1195,194,1389.0,"5 nights,2 adults",,4,True,Hell's Kitchen,Standard King Room,1 king bed,,,Good,21671 ,2024-06-17,2024-06-18,2024-06-23
SoHo 54,7.2,5.3,855,316,1171.0,"5 nights,2 adults",,3,True,SoHo,SoHo King,1 king bed,,,Good,2883 ,2024-06-17,2024-06-18,2024-06-23
Millennium Hotel Broadway Times Square,7.3,1.3,1033,342,1375.0,"5 nights,2 adults",,4,True,Manhattan,Queen Room with Bath Tub - Hearing/Mobility Accessible,1 queen bed,,,Good,7723 ,2024-06-17,2024-06-18,2024-06-23
The Belvedere Hotel,8.0,0.9,914,277,1191.0,"5 nights,2 adults",,4,True,Hell's Kitchen,Standard King Room,1 king bed,,,Very Good,5642 ,2024-06-17,2024-06-18,2024-06-23
"The Cloud One New York-Downtown, by the Motel One Group",8.4,7.0,1125,183,1308.0,"5 nights,2 adults",,4,True,Manhattan,Standard King Room,1 king bed,,,Very Good,4528 ,2024-06-17,2024-06-18,2024-06-23
Hyatt Grand Central New York,7.3,1.9,1058,406,1464.0,"5 nights,2 adults",Getaway Deal,4,True,Midtown East,King Room,1 king bed,,,Good,2626 ,2024-06-17,2024-06-18,2024-06-23
Millennium Downtown New York,7.4,6.8,990,364,1354.0,"5 nights,2 adults",,4,True,Manhattan,Superior King Room,1 king bed,,,Good,5086 ,2024-06-17,2024-06-18,2024-06-23
NH Collection New York Madison Avenue,8.3,2.0,1631,458,2089.0,"5 nights,2 adults",,4,True,Murray Hill,Superior Room,1 queen bed,,,Very Good,2014 ,2024-06-17,2024-06-18,2024-06-23
"Crowne Plaza Times Square Manhattan, an IHG Hotel",7.8,0.9,1280,407,1687.0,"5 nights,2 adults",,4,True,Manhattan,Traditional King Room,1 king bed,,,Good,6828 ,2024-06-17,2024-06-18,2024-06-23
"Holiday Inn Express - Times Square, an IHG Hotel",6.3,1.6,947,243,1190.0,"5 nights,2 adults",,3,True,Hell's Kitchen,1 King Standard,1 king bed,,,Review score,2747 ,2024-06-17,2024-06-18,2024-06-23
Sheraton New York Times Square Hotel,7.0,0.6,1203,367,1570.0,"5 nights,2 adults",,4,True,Manhattan,"Traditional, Guest room, 1 Queen",1 queen bed,,,Good,1591 ,2024-06-17,2024-06-18,2024-06-23
Pod 51,7.8,1.7,820,253,1073.0,"5 nights,2 adults",,3,True,Midtown East,Standard Bunk Bed Room with Shared Bathroom,2 twin beds,,,Good,10967 ,2024-06-17,2024-06-18,2024-06-23
Motto By Hilton New York City Times Square,8.2,1.0,1093,353,1446.0,"5 nights,2 adults",,3,True,Manhattan,Queen Room with City View,1 queen bed,Free cancellation,No prepayment needed– pay at the property,Very Good,431 ,2024-06-17,2024-06-18,2024-06-23
Hyatt Place NYC Chelsea,7.9,2.8,1318,212,1530.0,"5 nights,2 adults",,4,True,Chelsea,King Room with Sofa Bed and City View,"2 beds (1 king, 1 sofa bed)",,,Good,15569 ,2024-06-17,2024-06-18,2024-06-23
