Hotel Name,Price Before Taxes,Score,Classification,Number of Reviews,Room Type,Bed Type,Neighborhood,District,Cancellation Policy,Payment Policy,Total Price,Date of search,Checkin,Checkout,ttt,los,Hotel Index
The Lex NYC,169,8.4,Very Good,1005,,,New York,New York,,,196,2024-07-08,2024-07-09,2024-07-10,1,1,84
The Flat NYC,194,8.6,Excellent,279,,,New York,New York,,,181,2024-07-08,2024-07-09,2024-07-10,1,1,85
Doxie Hotel,125,7.2,Good,760,,,New York,New York,,,147,2024-07-08,2024-07-09,2024-07-10,1,1,86
"Staypineapple, An Artful Hotel, Midtown",208,9.2,Wonderful,1013,,,New York,New York,Fully refundable,,236,2024-07-08,2024-07-09,2024-07-10,1,1,87
Pod 39,179,8.8,Excellent,1516,,,New York,New York,,,232,2024-07-08,2024-07-09,2024-07-10,1,1,88
"Martinique New York on Broadway, Curio Collection by Hilton",254,8.8,Excellent,1152,,,New York,New York,,,341,2024-07-08,2024-07-09,2024-07-10,1,1,89
Home2 Suites By Hilton New York Times Square,220,8.4,Very Good,727,,,Theater District,Theater District,Fully refundable,Fully refundable,263,2024-07-08,2024-07-09,2024-07-10,1,1,90
Hyatt Centric Wall Street New York,189,8.8,Excellent,1010,,,New York,New York,Fully refundable,,237,2024-07-08,2024-07-09,2024-07-10,1,1,91
JG Sohotel,196,8.4,Very Good,230,,,SoHo,SoHo,Fully refundable,,250,2024-07-08,2024-07-09,2024-07-10,1,1,92
DoubleTree by Hilton Hotel New York City - Chelsea,207,7.8,Good,1020,,,Chelsea,Chelsea,,,241,2024-07-08,2024-07-09,2024-07-10,1,1,93
Sheraton Tribeca New York Hotel,219,8.4,Very Good,1009,,,New York,New York,Fully refundable,"Reserve now, pay later",255,2024-07-08,2024-07-09,2024-07-10,1,1,94
Hilton Garden Inn New York/Times Square Central,195,8.2,Very Good,1863,,,Theater District,Theater District,,,257,2024-07-08,2024-07-09,2024-07-10,1,1,95
"The Jewel Hotel, New York",277,9.2,Wonderful,2053,,,Central New York City,Central New York City,,,350,2024-07-08,2024-07-09,2024-07-10,1,1,96
Millennium Downtown New York,239,7.4,Good,2354,,,New York,New York,,,290,2024-07-08,2024-07-09,2024-07-10,1,1,97
Untitled at 3 Freeman Alley,225,9.2,Wonderful,250,,,New York,New York,Fully refundable,,259,2024-07-08,2024-07-09,2024-07-10,1,1,98
Chelsea Inn,157,7.8,Good,1011,,,New York,New York,,,206,2024-07-08,2024-07-09,2024-07-10,1,1,99
Four Points by Sheraton Midtown-Times Square,206,8.8,Excellent,1316,,,New York,New York,,,240,2024-07-08,2024-07-09,2024-07-10,1,1,100
