Type of transport: Nivel 1;Type of transport: Nivel 2;Type of transport: Nivel 3;Type of transport: Nivel 4;Type of transport: Nivel 5;Passengers and fees;Period;Total
Total passengers;City transport;;;;Year-to-date average variation rate;2018M09;2.1
Total passengers;City transport;;;;Year-to-date average variation rate;2018M08;2.2
Total passengers;City transport;;;;Year-to-date average variation rate;2018M07;2.3
Total passengers;City transport;;;;Year-to-date average variation rate;2018M06;2.1
Total passengers;City transport;;;;Year-to-date average variation rate;2018M05;2.2
Total passengers;City transport;;;;Year-to-date average variation rate;2018M04;2.5
Total passengers;City transport;;;;Year-to-date average variation rate;2018M03;-0.2
Total passengers;City transport;;;;Year-to-date average variation rate;2018M02;3.2
Total passengers;City transport;;;;Year-to-date average variation rate;2018M01;5.2
Total passengers;City transport;;;;Year-to-date average variation rate;2017M12;3.2
Total passengers;City transport;;;;Year-to-date average variation rate;2017M11;3.5
Total passengers;City transport;;;;Year-to-date average variation rate;2017M10;3.5
Total passengers;City transport;;;;Year-to-date average variation rate;2017M09;3.6
Total passengers;City transport;;;;Year-to-date average variation rate;2017M08;4.1
Total passengers;City transport;;;;Year-to-date average variation rate;2017M07;4.2
Total passengers;City transport;;;;Year-to-date average variation rate;2017M06;4.1
Total passengers;City transport;;;;Year-to-date average variation rate;2017M05;4.1
Total passengers;City transport;;;;Year-to-date average variation rate;2017M04;3.8
Total passengers;City transport;;;;Year-to-date average variation rate;2017M03;7.7
Total passengers;City transport;;;;Year-to-date average variation rate;2017M02;4.1
Total passengers;City transport;;;;Year-to-date average variation rate;2017M01;5.8
Total passengers;City transport;;;;Year-to-date average variation rate;2016M12;2.6
Total passengers;City transport;;;;Year-to-date average variation rate;2016M11;2.7
Total passengers;City transport;;;;Year-to-date average variation rate;2016M10;2.7
Total passengers;City transport;;;;Year-to-date average variation rate;2016M09;3.1
Total passengers;City transport;;;;Year-to-date average variation rate;2016M08;2.7
Total passengers;City transport;;;;Year-to-date average variation rate;2016M07;2.3
Total passengers;City transport;;;;Year-to-date average variation rate;2016M06;2.9
Total passengers;City transport;;;;Year-to-date average variation rate;2016M05;2.7
Total passengers;City transport;;;;Year-to-date average variation rate;2016M04;2.5
Total passengers;City transport;;;;Year-to-date average variation rate;2016M03;0.9
Total passengers;City transport;;;;Year-to-date average variation rate;2016M02;2.7
Total passengers;City transport;;;;Year-to-date average variation rate;2016M01;0.4
Total passengers;City transport;;;;Year-to-date average variation rate;2015M12;1.6
Total passengers;City transport;;;;Year-to-date average variation rate;2015M11;1.6
Total passengers;City transport;;;;Year-to-date average variation rate;2015M10;1.1
Total passengers;City transport;;;;Year-to-date average variation rate;2015M09;1.4
Total passengers;City transport;;;;Year-to-date average variation rate;2015M08;1.3
Total passengers;City transport;;;;Year-to-date average variation rate;2015M07;1.0
Total passengers;City transport;;;;Year-to-date average variation rate;2015M06;0.9
Total passengers;City transport;;;;Year-to-date average variation rate;2015M05;0.3
Total passengers;City transport;;;;Year-to-date average variation rate;2015M04;0.2
Total passengers;City transport;;;;Year-to-date average variation rate;2015M03;-0.7
Total passengers;City transport;;;;Year-to-date average variation rate;2015M02;-1.1
Total passengers;City transport;;;;Year-to-date average variation rate;2015M01;-1.8
Total passengers;City transport;;;;Year-to-date average variation rate;2014M12;0.5
Total passengers;City transport;;;;Year-to-date average variation rate;2014M11;0.2
Total passengers;City transport;;;;Year-to-date average variation rate;2014M10;0.3
Total passengers;City transport;;;;Year-to-date average variation rate;2014M09;0.2
Total passengers;City transport;;;;Year-to-date average variation rate;2014M08;-0.1
Total passengers;City transport;;;;Year-to-date average variation rate;2014M07;-0.1
Total passengers;City transport;;;;Year-to-date average variation rate;2014M06;-0.3
Total passengers;City transport;;;;Year-to-date average variation rate;2014M05;-0.2
Total passengers;City transport;;;;Year-to-date average variation rate;2014M04;0.0
Total passengers;City transport;;;;Year-to-date average variation rate;2014M03;2.6
Total passengers;City transport;;;;Year-to-date average variation rate;2014M02;-0.3
Total passengers;City transport;;;;Year-to-date average variation rate;2014M01;-1.2
Total passengers;City transport;;;;Year-to-date average variation rate;2013M12;-2.6
Total passengers;City transport;;;;Year-to-date average variation rate;2013M11;-3.0
Total passengers;City transport;;;;Year-to-date average variation rate;2013M10;-3.5
Total passengers;City transport;;;;Year-to-date average variation rate;2013M09;-4.2
Total passengers;City transport;;;;Year-to-date average variation rate;2013M08;-4.7
Total passengers;City transport;;;;Year-to-date average variation rate;2013M07;-4.7
Total passengers;City transport;;;;Year-to-date average variation rate;2013M06;-5.2
Total passengers;City transport;;;;Year-to-date average variation rate;2013M05;-5.2
Total passengers;City transport;;;;Year-to-date average variation rate;2013M04;-5.4
Total passengers;City transport;;;;Year-to-date average variation rate;2013M03;-9.2
Total passengers;City transport;;;;Year-to-date average variation rate;2013M02;-7.1
Total passengers;City transport;;;;Year-to-date average variation rate;2013M01;-5.4
Total passengers;City transport;;;;Year-to-date average variation rate;2012M12;-4.9
Total passengers;City transport;;;;Year-to-date average variation rate;2012M11;-4.5
Total passengers;City transport;;;;Year-to-date average variation rate;2012M10;-4.0
Total passengers;City transport;;;;Year-to-date average variation rate;2012M09;-4.2
Total passengers;City transport;;;;Year-to-date average variation rate;2012M08;-3.5
Total passengers;City transport;;;;Year-to-date average variation rate;2012M07;-3.0
Total passengers;City transport;;;;Year-to-date average variation rate;2012M06;-2.9
Total passengers;City transport;;;;Year-to-date average variation rate;2012M05;-2.7
Total passengers;City transport;;;;Year-to-date average variation rate;2012M04;-2.1
Total passengers;City transport;;;;Year-to-date average variation rate;2012M03;-1.2
Total passengers;City transport;;;;Year-to-date average variation rate;2012M02;1.0
Total passengers;City transport;;;;Year-to-date average variation rate;2012M01;1.4
Total passengers;City transport;;;;Year-to-date average variation rate;2011M12;0.6
Total passengers;City transport;;;;Year-to-date average variation rate;2011M11;0.7
Total passengers;City transport;;;;Year-to-date average variation rate;2011M10;0.8
Total passengers;City transport;;;;Year-to-date average variation rate;2011M09;0.9
Total passengers;City transport;;;;Year-to-date average variation rate;2011M08;0.8
Total passengers;City transport;;;;Year-to-date average variation rate;2011M07;0.4
Total passengers;City transport;;;;Year-to-date average variation rate;2011M06;0.8
Total passengers;City transport;;;;Year-to-date average variation rate;2011M05;0.7
Total passengers;City transport;;;;Year-to-date average variation rate;2011M04;0.5
Total passengers;City transport;;;;Year-to-date average variation rate;2011M03;1.9
Total passengers;City transport;;;;Year-to-date average variation rate;2011M02;1.8
Total passengers;City transport;;;;Year-to-date average variation rate;2011M01;2.6
Total passengers;City transport;;;;Year-to-date average variation rate;2010M12;-0.4
Total passengers;City transport;;;;Year-to-date average variation rate;2010M11;-0.5
Total passengers;City transport;;;;Year-to-date average variation rate;2010M10;-0.6
Total passengers;City transport;;;;Year-to-date average variation rate;2010M09;-0.4
Total passengers;City transport;;;;Year-to-date average variation rate;2010M08;-0.5
Total passengers;City transport;;;;Year-to-date average variation rate;2010M07;-0.4
Total passengers;City transport;;;;Year-to-date average variation rate;2010M06;0.2
Total passengers;City transport;;;;Year-to-date average variation rate;2010M05;0.7
Total passengers;City transport;;;;Year-to-date average variation rate;2010M04;0.0
Total passengers;City transport;;;;Year-to-date average variation rate;2010M03;-1.2
Total passengers;City transport;;;;Year-to-date average variation rate;2010M02;-2.6
Total passengers;City transport;;;;Year-to-date average variation rate;2010M01;-4.0
Total passengers;City transport;;;;Year-to-date average variation rate;2009M12;-3.3
Total passengers;City transport;;;;Year-to-date average variation rate;2009M11;-3.4
Total passengers;City transport;;;;Year-to-date average variation rate;2009M10;-3.6
Total passengers;City transport;;;;Year-to-date average variation rate;2009M09;-3.4
Total passengers;City transport;;;;Year-to-date average variation rate;2009M08;-3.6
Total passengers;City transport;;;;Year-to-date average variation rate;2009M07;-3.7
Total passengers;City transport;;;;Year-to-date average variation rate;2009M06;-3.8
Total passengers;City transport;;;;Year-to-date average variation rate;2009M05;-4.3
Total passengers;City transport;;;;Year-to-date average variation rate;2009M04;-4.9
Total passengers;City transport;;;;Year-to-date average variation rate;2009M03;-2.5
Total passengers;City transport;;;;Year-to-date average variation rate;2009M02;-7.6
Total passengers;City transport;;;;Year-to-date average variation rate;2009M01;-8.2
Total passengers;City transport;;;;Year-to-date average variation rate;2008M12;-1.0
Total passengers;City transport;;;;Year-to-date average variation rate;2008M11;-1.1
Total passengers;City transport;;;;Year-to-date average variation rate;2008M10;-0.8
Total passengers;City transport;;;;Year-to-date average variation rate;2008M09;-0.8
Total passengers;City transport;;;;Year-to-date average variation rate;2008M08;-0.9
Total passengers;City transport;;;;Year-to-date average variation rate;2008M07;-0.7
Total passengers;City transport;;;;Year-to-date average variation rate;2008M06;-1.0
Total passengers;City transport;;;;Year-to-date average variation rate;2008M05;-0.6
Total passengers;City transport;;;;Year-to-date average variation rate;2008M04;0.7
Total passengers;City transport;;;;Year-to-date average variation rate;2008M03;-2.7
Total passengers;City transport;;;;Year-to-date average variation rate;2008M02;3.6
Total passengers;City transport;;;;Year-to-date average variation rate;2008M01;2.8
Total passengers;City transport;;;;Year-to-date average variation rate;2007M12;1.8
Total passengers;City transport;;;;Year-to-date average variation rate;2007M11;2.0
Total passengers;City transport;;;;Year-to-date average variation rate;2007M10;2.2
Total passengers;City transport;;;;Year-to-date average variation rate;2007M09;2.0
Total passengers;City transport;;;;Year-to-date average variation rate;2007M08;2.4
Total passengers;City transport;;;;Year-to-date average variation rate;2007M07;2.5
Total passengers;City transport;;;;Year-to-date average variation rate;2007M06;2.2
Total passengers;City transport;;;;Year-to-date average variation rate;2007M05;2.5
Total passengers;City transport;;;;Year-to-date average variation rate;2007M04;2.7
Total passengers;City transport;;;;Year-to-date average variation rate;2007M03;2.7
Total passengers;City transport;;;;Year-to-date average variation rate;2007M02;2.8
Total passengers;City transport;;;;Year-to-date average variation rate;2007M01;3.4
Total passengers;City transport;;;;Year-to-date average variation rate;2006M12;1.8
Total passengers;City transport;;;;Year-to-date average variation rate;2006M11;2.0
Total passengers;City transport;;;;Year-to-date average variation rate;2006M10;2.0
Total passengers;City transport;;;;Year-to-date average variation rate;2006M09;1.8
Total passengers;City transport;;;;Year-to-date average variation rate;2006M08;1.8
Total passengers;City transport;;;;Year-to-date average variation rate;2006M07;1.9
Total passengers;City transport;;;;Year-to-date average variation rate;2006M06;1.3
Total passengers;City transport;;;;Year-to-date average variation rate;2006M05;1.5
Total passengers;City transport;;;;Year-to-date average variation rate;2006M04;1.2
Total passengers;City transport;;;;Year-to-date average variation rate;2006M03;5.0
Total passengers;City transport;;;;Year-to-date average variation rate;2006M02;2.5
Total passengers;City transport;;;;Year-to-date average variation rate;2006M01;3.3
Total passengers;City transport;;;;Year-to-date average variation rate;2005M12;5.0
Total passengers;City transport;;;;Year-to-date average variation rate;2005M11;5.1
Total passengers;City transport;;;;Year-to-date average variation rate;2005M10;5.3
Total passengers;City transport;;;;Year-to-date average variation rate;2005M09;5.4
Total passengers;City transport;;;;Year-to-date average variation rate;2005M08;5.5
Total passengers;City transport;;;;Year-to-date average variation rate;2005M07;4.5
Total passengers;City transport;;;;Year-to-date average variation rate;2005M06;5.2
Total passengers;City transport;;;;Year-to-date average variation rate;2005M05;4.7
Total passengers;City transport;;;;Year-to-date average variation rate;2005M04;4.5
Total passengers;City transport;;;;Year-to-date average variation rate;2005M03;1.2
Total passengers;City transport;;;;Year-to-date average variation rate;2005M02;3.1
Total passengers;City transport;;;;Year-to-date average variation rate;2005M01;3.2
Total passengers;City transport;;;;Year-to-date average variation rate;2004M12;1.9
Total passengers;City transport;;;;Year-to-date average variation rate;2004M11;2.0
Total passengers;City transport;;;;Year-to-date average variation rate;2004M10;1.9
Total passengers;City transport;;;;Year-to-date average variation rate;2004M09;2.8
Total passengers;City transport;;;;Year-to-date average variation rate;2004M08;2.5
Total passengers;City transport;;;;Year-to-date average variation rate;2004M07;2.3
Total passengers;City transport;;;;Year-to-date average variation rate;2004M06;2.6
Total passengers;City transport;;;;Year-to-date average variation rate;2004M05;2.2
Total passengers;City transport;;;;Year-to-date average variation rate;2004M04;2.1
Total passengers;City transport;;;;Year-to-date average variation rate;2004M03;3.0
Total passengers;City transport;;;;Year-to-date average variation rate;2004M02;2.3
Total passengers;City transport;;;;Year-to-date average variation rate;2004M01;1.0
Total passengers;City transport;;;;Year-to-date average variation rate;2003M12;2.8
Total passengers;City transport;;;;Year-to-date average variation rate;2003M11;2.6
Total passengers;City transport;;;;Year-to-date average variation rate;2003M10;2.7
Total passengers;City transport;;;;Year-to-date average variation rate;2003M09;3.0
Total passengers;City transport;;;;Year-to-date average variation rate;2003M08;3.0
Total passengers;City transport;;;;Year-to-date average variation rate;2003M07;3.0
Total passengers;City transport;;;;Year-to-date average variation rate;2003M06;3.2
Total passengers;City transport;;;;Year-to-date average variation rate;2003M05;2.7
Total passengers;City transport;;;;Year-to-date average variation rate;2003M04;2.6
Total passengers;City transport;;;;Year-to-date average variation rate;2003M03;5.4
Total passengers;City transport;;;;Year-to-date average variation rate;2003M02;2.1
Total passengers;City transport;;;;Year-to-date average variation rate;2003M01;2.0
Total passengers;City transport;;;;Year-to-date average variation rate;2002M12;0.7
Total passengers;City transport;;;;Year-to-date average variation rate;2002M11;0.6
Total passengers;City transport;;;;Year-to-date average variation rate;2002M10;0.5
Total passengers;City transport;;;;Year-to-date average variation rate;2002M09;0.0
Total passengers;City transport;;;;Year-to-date average variation rate;2002M08;-0.4
Total passengers;City transport;;;;Year-to-date average variation rate;2002M07;-0.6
Total passengers;City transport;;;;Year-to-date average variation rate;2002M06;-1.4
Total passengers;City transport;;;;Year-to-date average variation rate;2002M05;-0.8
Total passengers;City transport;;;;Year-to-date average variation rate;2002M04;-0.6
Total passengers;City transport;;;;Year-to-date average variation rate;2002M03;-5.2
Total passengers;City transport;;;;Year-to-date average variation rate;2002M02;-1.4
Total passengers;City transport;;;;Year-to-date average variation rate;2002M01;-2.2
Total passengers;City transport;;;;Year-to-date average variation rate;2001M12;1.3
Total passengers;City transport;;;;Year-to-date average variation rate;2001M11;1.7
Total passengers;City transport;;;;Year-to-date average variation rate;2001M10;2.1
Total passengers;City transport;;;;Year-to-date average variation rate;2001M09;1.9
Total passengers;City transport;;;;Year-to-date average variation rate;2001M08;2.2
Total passengers;City transport;;;;Year-to-date average variation rate;2001M07;2.4
Total passengers;City transport;;;;Year-to-date average variation rate;2001M06;2.2
Total passengers;City transport;;;;Year-to-date average variation rate;2001M05;2.3
Total passengers;City transport;;;;Year-to-date average variation rate;2001M04;2.4
Total passengers;City transport;;;;Year-to-date average variation rate;2001M03;2.5
Total passengers;City transport;;;;Year-to-date average variation rate;2001M02;3.4
Total passengers;City transport;;;;Year-to-date average variation rate;2001M01;8.1
Total passengers;City transport;;;;Year-to-date average variation rate;2000M12;3.5
Total passengers;City transport;;;;Year-to-date average variation rate;2000M11;3.6
Total passengers;City transport;;;;Year-to-date average variation rate;2000M10;3.6
Total passengers;City transport;;;;Year-to-date average variation rate;2000M09;3.3
Total passengers;City transport;;;;Year-to-date average variation rate;2000M08;3.4
Total passengers;City transport;;;;Year-to-date average variation rate;2000M07;3.2
Total passengers;City transport;;;;Year-to-date average variation rate;2000M06;3.4
Total passengers;City transport;;;;Year-to-date average variation rate;2000M05;3.2
Total passengers;City transport;;;;Year-to-date average variation rate;2000M04;3.2
Total passengers;City transport;;;;Year-to-date average variation rate;2000M03;5.9
Total passengers;City transport;;;;Year-to-date average variation rate;2000M02;5.5
Total passengers;City transport;;;;Year-to-date average variation rate;2000M01;4.0
Total passengers;City transport;;;;Year-to-date average variation rate;1999M12;2.4
Total passengers;City transport;;;;Year-to-date average variation rate;1999M11;2.5
Total passengers;City transport;;;;Year-to-date average variation rate;1999M10;2.2
Total passengers;City transport;;;;Year-to-date average variation rate;1999M09;2.6
Total passengers;City transport;;;;Year-to-date average variation rate;1999M08;2.5
Total passengers;City transport;;;;Year-to-date average variation rate;1999M07;2.3
Total passengers;City transport;;;;Year-to-date average variation rate;1999M06;2.5
Total passengers;City transport;;;;Year-to-date average variation rate;1999M05;2.5
Total passengers;City transport;;;;Year-to-date average variation rate;1999M04;1.8
Total passengers;City transport;;;;Year-to-date average variation rate;1999M03;0.4
Total passengers;City transport;;;;Year-to-date average variation rate;1999M02;-0.3
Total passengers;City transport;;;;Year-to-date average variation rate;1999M01;-1.6
Total passengers;City transport;;;;Year-to-date average variation rate;1998M12;0.8
Total passengers;City transport;;;;Year-to-date average variation rate;1998M11;1.0
Total passengers;City transport;;;;Year-to-date average variation rate;1998M10;1.1
Total passengers;City transport;;;;Year-to-date average variation rate;1998M09;1.8
Total passengers;City transport;;;;Year-to-date average variation rate;1998M08;1.7
Total passengers;City transport;;;;Year-to-date average variation rate;1998M07;1.6
Total passengers;City transport;;;;Year-to-date average variation rate;1998M06;1.5
Total passengers;City transport;;;;Year-to-date average variation rate;1998M05;1.1
Total passengers;City transport;;;;Year-to-date average variation rate;1998M04;0.8
Total passengers;City transport;;;;Year-to-date average variation rate;1998M03;4.3
Total passengers;City transport;;;;Year-to-date average variation rate;1998M02;0.3
Total passengers;City transport;;;;Year-to-date average variation rate;1998M01;-0.6
Total passengers;City transport;;;;Year-to-date average variation rate;1997M12;0.6
Total passengers;City transport;;;;Year-to-date average variation rate;1997M11;0.3
Total passengers;City transport;;;;Year-to-date average variation rate;1997M10;0.2
Total passengers;City transport;;;;Year-to-date average variation rate;1997M09;0.0
Total passengers;City transport;;;;Year-to-date average variation rate;1997M08;-0.2
Total passengers;City transport;;;;Year-to-date average variation rate;1997M07;-0.3
Total passengers;City transport;;;;Year-to-date average variation rate;1997M06;-0.7
Total passengers;City transport;;;;Year-to-date average variation rate;1997M05;-1.2
Total passengers;City transport;;;;Year-to-date average variation rate;1997M04;-0.9
Total passengers;City transport;;;;Year-to-date average variation rate;1997M03;-4.4
Total passengers;City transport;;;;Year-to-date average variation rate;1997M02;-2.6
Total passengers;City transport;;;;Year-to-date average variation rate;1997M01;-1.3
Total passengers;City transport;;;;Year-to-date average variation rate;1996M12;""
Total passengers;City transport;;;;Year-to-date average variation rate;1996M11;""
Total passengers;City transport;;;;Year-to-date average variation rate;1996M10;""
Total passengers;City transport;;;;Year-to-date average variation rate;1996M09;""
Total passengers;City transport;;;;Year-to-date average variation rate;1996M08;""
Total passengers;City transport;;;;Year-to-date average variation rate;1996M07;""
Total passengers;City transport;;;;Year-to-date average variation rate;1996M06;""
Total passengers;City transport;;;;Year-to-date average variation rate;1996M05;""
Total passengers;City transport;;;;Year-to-date average variation rate;1996M04;""
Total passengers;City transport;;;;Year-to-date average variation rate;1996M03;""
Total passengers;City transport;;;;Year-to-date average variation rate;1996M02;""
Total passengers;City transport;;;;Year-to-date average variation rate;1996M01;""
Total passengers;City transport;Metro City Transport;;;Passengers transported;2024M04;127,977
Total passengers;City transport;Metro City Transport;;;Passengers transported;2024M03;121,866
Total passengers;City transport;Metro City Transport;;;Passengers transported;2024M02;121,508
Total passengers;City transport;Metro City Transport;;;Passengers transported;2024M01;116,559
Total passengers;City transport;Metro City Transport;;;Passengers transported;2023M12;115,264
Total passengers;City transport;Metro City Transport;;;Passengers transported;2023M11;122,760
Total passengers;City transport;Metro City Transport;;;Passengers transported;2023M10;123,918
Total passengers;City transport;Metro City Transport;;;Passengers transported;2023M09;109,722
Total passengers;City transport;Metro City Transport;;;Passengers transported;2023M08;77,878
Total passengers;City transport;Metro City Transport;;;Passengers transported;2023M07;96,931
Total passengers;City transport;Metro City Transport;;;Passengers transported;2023M06;112,200
Total passengers;City transport;Metro City Transport;;;Passengers transported;2023M05;118,570
Total passengers;City transport;Metro City Transport;;;Passengers transported;2023M04;108,551
Total passengers;City transport;Metro City Transport;;;Passengers transported;2023M03;123,181
Total passengers;City transport;Metro City Transport;;;Passengers transported;2023M02;106,890
Total passengers;City transport;Metro City Transport;;;Passengers transported;2023M01;105,282
Total passengers;City transport;Metro City Transport;;;Passengers transported;2022M12;103,124
Total passengers;City transport;Metro City Transport;;;Passengers transported;2022M11;109,149
Total passengers;City transport;Metro City Transport;;;Passengers transported;2022M10;108,891
Total passengers;City transport;Metro City Transport;;;Passengers transported;2022M09;98,728
Total passengers;City transport;Metro City Transport;;;Passengers transported;2022M08;65,674
Total passengers;City transport;Metro City Transport;;;Passengers transported;2022M07;81,785
Total passengers;City transport;Metro City Transport;;;Passengers transported;2022M06;93,638
Total passengers;City transport;Metro City Transport;;;Passengers transported;2022M05;99,626
Total passengers;City transport;Metro City Transport;;;Passengers transported;2022M04;90,045
Total passengers;City transport;Metro City Transport;;;Passengers transported;2022M03;101,023
Total passengers;City transport;Metro City Transport;;;Passengers transported;2022M02;84,556
Total passengers;City transport;Metro City Transport;;;Passengers transported;2022M01;75,017
Total passengers;City transport;Metro City Transport;;;Passengers transported;2021M12;83,030
Total passengers;City transport;Metro City Transport;;;Passengers transported;2021M11;92,145
Total passengers;City transport;Metro City Transport;;;Passengers transported;2021M10;89,941
Total passengers;City transport;Metro City Transport;;;Passengers transported;2021M09;78,686
Total passengers;City transport;Metro City Transport;;;Passengers transported;2021M08;52,173
Total passengers;City transport;Metro City Transport;;;Passengers transported;2021M07;66,521
Total passengers;City transport;Metro City Transport;;;Passengers transported;2021M06;72,234
Total passengers;City transport;Metro City Transport;;;Passengers transported;2021M05;69,618
Total passengers;City transport;Metro City Transport;;;Passengers transported;2021M04;63,799
Total passengers;City transport;Metro City Transport;;;Passengers transported;2021M03;67,151
Total passengers;City transport;Metro City Transport;;;Passengers transported;2021M02;56,273
Total passengers;City transport;Metro City Transport;;;Passengers transported;2021M01;54,460
Total passengers;City transport;Metro City Transport;;;Passengers transported;2020M12;59,821
Total passengers;City transport;Metro City Transport;;;Passengers transported;2020M11;57,413
Total passengers;City transport;Metro City Transport;;;Passengers transported;2020M10;60,708
Total passengers;City transport;Metro City Transport;;;Passengers transported;2020M09;55,630
Total passengers;City transport;Metro City Transport;;;Passengers transported;2020M08;39,723
Total passengers;City transport;Metro City Transport;;;Passengers transported;2020M07;52,968
Total passengers;City transport;Metro City Transport;;;Passengers transported;2020M06;42,717
Total passengers;City transport;Metro City Transport;;;Passengers transported;2020M05;19,899
Total passengers;City transport;Metro City Transport;;;Passengers transported;2020M04;9,520
Total passengers;City transport;Metro City Transport;;;Passengers transported;2020M03;51,791
Total passengers;City transport;Metro City Transport;;;Passengers transported;2020M02;111,814
Total passengers;City transport;Metro City Transport;;;Passengers transported;2020M01;110,737
Total passengers;City transport;Metro City Transport;;;Passengers transported;2019M12;109,101
Total passengers;City transport;Metro City Transport;;;Passengers transported;2019M11;115,919
Total passengers;City transport;Metro City Transport;;;Passengers transported;2019M10;122,955
Total passengers;City transport;Metro City Transport;;;Passengers transported;2019M09;104,300
Total passengers;City transport;Metro City Transport;;;Passengers transported;2019M08;71,088
Total passengers;City transport;Metro City Transport;;;Passengers transported;2019M07;97,349
Total passengers;City transport;Metro City Transport;;;Passengers transported;2019M06;105,832
Total passengers;City transport;Metro City Transport;;;Passengers transported;2019M05;111,830
Total passengers;City transport;Metro City Transport;;;Passengers transported;2019M04;105,016
Total passengers;City transport;Metro City Transport;;;Passengers transported;2019M03;116,626
Total passengers;City transport;Metro City Transport;;;Passengers transported;2019M02;106,077
Total passengers;City transport;Metro City Transport;;;Passengers transported;2019M01;109,548
Total passengers;City transport;Metro City Transport;;;Passengers transported;2018M12;105,524
Total passengers;City transport;Metro City Transport;;;Passengers transported;2018M11;112,255
Total passengers;City transport;Metro City Transport;;;Passengers transported;2018M10;117,517
Total passengers;City transport;Metro City Transport;;;Passengers transported;2018M09;100,477
Total passengers;City transport;Metro City Transport;;;Passengers transported;2018M08;71,577
Total passengers;City transport;Metro City Transport;;;Passengers transported;2018M07;96,302
Total passengers;City transport;Metro City Transport;;;Passengers transported;2018M06;105,551
Total passengers;City transport;Metro City Transport;;;Passengers transported;2018M05;111,488
Total passengers;City transport;Metro City Transport;;;Passengers transported;2018M04;109,345
Total passengers;City transport;Metro City Transport;;;Passengers transported;2018M03;109,034
Total passengers;City transport;Metro City Transport;;;Passengers transported;2018M02;102,893
Total passengers;City transport;Metro City Transport;;;Passengers transported;2018M01;104,128
Total passengers;City transport;Metro City Transport;;;Passengers transported;2017M12;99,442
Total passengers;City transport;Metro City Transport;;;Passengers transported;2017M11;107,466
Total passengers;City transport;Metro City Transport;;;Passengers transported;2017M10;108,967
Total passengers;City transport;Metro City Transport;;;Passengers transported;2017M09;98,404
Total passengers;City transport;Metro City Transport;;;Passengers transported;2017M08;70,033
Total passengers;City transport;Metro City Transport;;;Passengers transported;2017M07;90,273
Total passengers;City transport;Metro City Transport;;;Passengers transported;2017M06;102,455
Total passengers;City transport;Metro City Transport;;;Passengers transported;2017M05;107,614
Total passengers;City transport;Metro City Transport;;;Passengers transported;2017M04;96,916
Total passengers;City transport;Metro City Transport;;;Passengers transported;2017M03;112,182
Total passengers;City transport;Metro City Transport;;;Passengers transported;2017M02;98,759
Total passengers;City transport;Metro City Transport;;;Passengers transported;2017M01;98,850
Total passengers;City transport;Metro City Transport;;;Passengers transported;2016M12;99,490
Total passengers;City transport;Metro City Transport;;;Passengers transported;2016M11;102,783
Total passengers;City transport;Metro City Transport;;;Passengers transported;2016M10;103,000
Total passengers;City transport;Metro City Transport;;;Passengers transported;2016M09;94,985
Total passengers;City transport;Metro City Transport;;;Passengers transported;2016M08;66,401
Total passengers;City transport;Metro City Transport;;;Passengers transported;2016M07;84,430
Total passengers;City transport;Metro City Transport;;;Passengers transported;2016M06;94,433
Total passengers;City transport;Metro City Transport;;;Passengers transported;2016M05;101,716
Total passengers;City transport;Metro City Transport;;;Passengers transported;2016M04;103,015
Total passengers;City transport;Metro City Transport;;;Passengers transported;2016M03;97,982
Total passengers;City transport;Metro City Transport;;;Passengers transported;2016M02;96,186
Total passengers;City transport;Metro City Transport;;;Passengers transported;2016M01;92,816
Total passengers;City transport;Metro City Transport;;;Passengers transported;2015M12;97,842
Total passengers;City transport;Metro City Transport;;;Passengers transported;2015M11;100,850
Total passengers;City transport;Metro City Transport;;;Passengers transported;2015M10;105,408
Total passengers;City transport;Metro City Transport;;;Passengers transported;2015M09;92,825
Total passengers;City transport;Metro City Transport;;;Passengers transported;2015M08;64,382
Total passengers;City transport;Metro City Transport;;;Passengers transported;2015M07;88,525
Total passengers;City transport;Metro City Transport;;;Passengers transported;2015M06;93,912
Total passengers;City transport;Metro City Transport;;;Passengers transported;2015M05;99,067
Total passengers;City transport;Metro City Transport;;;Passengers transported;2015M04;95,915
Total passengers;City transport;Metro City Transport;;;Passengers transported;2015M03;100,812
Total passengers;City transport;Metro City Transport;;;Passengers transported;2015M02;91,534
Total passengers;City transport;Metro City Transport;;;Passengers transported;2015M01;92,456
Total passengers;City transport;Metro City Transport;;;Passengers transported;2014M12;95,767
Total passengers;City transport;Metro City Transport;;;Passengers transported;2014M11;95,197
Total passengers;City transport;Metro City Transport;;;Passengers transported;2014M10;104,734
Total passengers;City transport;Metro City Transport;;;Passengers transported;2014M09;90,667
Total passengers;City transport;Metro City Transport;;;Passengers transported;2014M08;61,885
Total passengers;City transport;Metro City Transport;;;Passengers transported;2014M07;86,939
Total passengers;City transport;Metro City Transport;;;Passengers transported;2014M06;90,310
Total passengers;City transport;Metro City Transport;;;Passengers transported;2014M05;97,655
Total passengers;City transport;Metro City Transport;;;Passengers transported;2014M04;91,666
Total passengers;City transport;Metro City Transport;;;Passengers transported;2014M03;100,905
Total passengers;City transport;Metro City Transport;;;Passengers transported;2014M02;90,648
Total passengers;City transport;Metro City Transport;;;Passengers transported;2014M01;92,992
Total passengers;City transport;Metro City Transport;;;Passengers transported;2013M12;92,479
Total passengers;City transport;Metro City Transport;;;Passengers transported;2013M11;95,336
Total passengers;City transport;Metro City Transport;;;Passengers transported;2013M10;102,237
