Type of transport: Nivel 1;Type of transport: Nivel 2;Type of transport: Nivel 3;Type of transport: Nivel 4;Type of transport: Nivel 5;Passengers and fees;Period;Total
Total passengers;;;;;Passengers transported;2014M04;378,265
Total passengers;;;;;Passengers transported;2014M03;402,037
Total passengers;;;;;Passengers transported;2014M02;368,718
Total passengers;;;;;Passengers transported;2014M01;371,433
Total passengers;;;;;Passengers transported;2013M12;360,875
Total passengers;;;;;Passengers transported;2013M11;388,986
Total passengers;;;;;Passengers transported;2013M10;431,048
Total passengers;;;;;Passengers transported;2013M09;363,267
Total passengers;;;;;Passengers transported;2013M08;265,569
Total passengers;;;;;Passengers transported;2013M07;347,942
Total passengers;;;;;Passengers transported;2013M06;385,704
Total passengers;;;;;Passengers transported;2013M05;414,932
Total passengers;;;;;Passengers transported;2013M04;401,276
Total passengers;;;;;Passengers transported;2013M03;379,029
Total passengers;;;;;Passengers transported;2013M02;369,868
Total passengers;;;;;Passengers transported;2013M01;377,654
Total passengers;;;;;Passengers transported;2012M12;353,987
Total passengers;;;;;Passengers transported;2012M11;385,639
Total passengers;;;;;Passengers transported;2012M10;422,843
Total passengers;;;;;Passengers transported;2012M09;363,500
Total passengers;;;;;Passengers transported;2012M08;276,474
Total passengers;;;;;Passengers transported;2012M07;352,022
Total passengers;;;;;Passengers transported;2012M06;400,374
Total passengers;;;;;Passengers transported;2012M05;425,948
Total passengers;;;;;Passengers transported;2012M04;374,663
Total passengers;;;;;Passengers transported;2012M03;426,110
Total passengers;;;;;Passengers transported;2012M02;396,218
Total passengers;;;;;Passengers transported;2012M01;390,293
Total passengers;;;;;Passengers transported;2011M12;386,528
Total passengers;;;;;Passengers transported;2011M11;418,821
Total passengers;;;;;Passengers transported;2011M10;425,777
Total passengers;;;;;Passengers transported;2011M09;391,815
Total passengers;;;;;Passengers transported;2011M08;292,575
Total passengers;;;;;Passengers transported;2011M07;358,103
Total passengers;;;;;Passengers transported;2011M06;412,854
Total passengers;;;;;Passengers transported;2011M05;439,370
Total passengers;;;;;Passengers transported;2011M04;393,527
Total passengers;;;;;Passengers transported;2011M03;444,285
Total passengers;;;;;Passengers transported;2011M02;394,639
Total passengers;;;;;Passengers transported;2011M01;384,145
Total passengers;;;;;Passengers transported;2010M12;388,958
Total passengers;;;;;Passengers transported;2010M11;423,383
Total passengers;;;;;Passengers transported;2010M10;427,903
Total passengers;;;;;Passengers transported;2010M09;390,030
Total passengers;;;;;Passengers transported;2010M08;285,863
Total passengers;;;;;Passengers transported;2010M07;365,945
Total passengers;;;;;Passengers transported;2010M06;412,897
Total passengers;;;;;Passengers transported;2010M05;435,841
Total passengers;;;;;Passengers transported;2010M04;410,607
Total passengers;;;;;Passengers transported;2010M03;438,090
Total passengers;;;;;Passengers transported;2010M02;391,132
Total passengers;;;;;Passengers transported;2010M01;377,222
Total passengers;;;;;Passengers transported;2009M12;390,794
Total passengers;;;;;Passengers transported;2009M11;422,923
Total passengers;;;;;Passengers transported;2009M10;440,032
Total passengers;;;;;Passengers transported;2009M09;392,418
Total passengers;;;;;Passengers transported;2009M08;289,705
Total passengers;;;;;Passengers transported;2009M07;379,613
Total passengers;;;;;Passengers transported;2009M06;423,634
Total passengers;;;;;Passengers transported;2009M05;432,272
Total passengers;;;;;Passengers transported;2009M04;403,121
Total passengers;;;;;Passengers transported;2009M03;440,223
Total passengers;;;;;Passengers transported;2009M02;400,562
Total passengers;;;;;Passengers transported;2009M01;398,959
Total passengers;;;;;Passengers transported;2008M12;400,925
Total passengers;;;;;Passengers transported;2008M11;430,151
Total passengers;;;;;Passengers transported;2008M10;465,615
Total passengers;;;;;Passengers transported;2008M09;403,246
